game_norm,genero,PremiosTotalesUSD,JugadoresTotales,TorneosTotales
beat aim,First-Person Shooter,430.0,12,6
beat saber,Music / Rhythm Game,16692.06,63,11
big buck hunter arcade,First-Person Shooter,76200.0,3,1
black squad,First-Person Shooter,8480.72,57,17
blade & soul,Role-Playing Game,679006.26,89,7
blankos block party,Multiplayer Online Battle Arena,250.0,3,1
blaston,First-Person Shooter,19623.06,27,22
blazblue: calamity trigger,Fighting Game,35.0,3,1
blazblue: central fiction,Fighting Game,106192.78,130,57
blazblue: chronophantasma,Fighting Game,37020.58,63,15
blazblue: chronophantasma extend,Fighting Game,4918.77,28,11
blazblue: continuum shift extend,Fighting Game,0.0,3,1
blazblue: continuum shift ii,Fighting Game,24591.01,14,5
blazblue: cross tag battle,Fighting Game,98682.7,133,43
bloodline champions,Multiplayer Online Battle Arena,41905.32,43,12
bloody roar extreme,Fighting Game,1370.0,3,1
borderlands 3,First-Person Shooter,50000.0,16,1
brawl stars,Strategy,8141511.8,698,207
brawlhalla,Fighting Game,4268987.83,880,698
brawlout,Fighting Game,0.0,0,0
breakers revenge,Fighting Game,16.0,3,1
brink,First-Person Shooter,21505.82,5,1
call of duty,First-Person Shooter,54799.77,66,4
call of duty 2,First-Person Shooter,75090.24,53,17
call of duty 4: modern warfare,First-Person Shooter,425409.27,431,87
call of duty online,First-Person Shooter,949542.0,0,8
call of duty: advanced warfare,First-Person Shooter,2611808.93,783,405
call of duty: black ops,First-Person Shooter,375793.48,118,23
call of duty: black ops 2,First-Person Shooter,1479139.25,187,54
call of duty: black ops 4,First-Person Shooter,6734938.95,389,82
call of duty: black ops cold war,First-Person Shooter,6549000.0,299,92
call of duty: black ops iii,First-Person Shooter,3939783.29,424,78
call of duty: blackout,First-Person Shooter,611608.35,175,18
call of duty: ghosts,First-Person Shooter,1594185.25,199,76
call of duty: infinite warfare,First-Person Shooter,4166705.06,343,84
call of duty: mobile,First-Person Shooter,8364832.75,471,43
call of duty: modern warfare,First-Person Shooter,7500784.5,396,81
call of duty: modern warfare 2,First-Person Shooter,117479.89,69,22
call of duty: modern warfare 3,First-Person Shooter,1161041.56,217,49
call of duty: modern warfare ii,First-Person Shooter,6121126.9,227,38
call of duty: modern warfare iii,First-Person Shooter,6020000.0,145,15
call of duty: vanguard,First-Person Shooter,6321000.0,261,91
call of duty: warzone,First-Person Shooter,12904809.95,1279,406
call of duty: warzone 2.0,First-Person Shooter,0.0,0,0
call of duty: wwii,First-Person Shooter,4578021.0,296,77
capcom vs. snk,Fighting Game,140.0,6,2
capcom vs. snk 2,Fighting Game,25966.79,39,24
carom 3d,Sports,60500.0,11,4
catherine,Puzzle Game,1545.0,11,7
catherine: full body,Puzzle Game,185.0,3,1
cave digger 2,Role-Playing Game,750.0,4,1
chaos code: new sign of catastrophe,Fighting Game,140.0,3,1
chess.com,Strategy,8609043.36,1158,779
chess24,Strategy,4318475.43,90,29
chessarena.com,Strategy,263363.64,134,22
chex quest,First-Person Shooter,100.0,2,1
chivalry 2,Role-Playing Game,0.0,0,0
clash of clans,Strategy,6085742.37,544,81
clash royale,Strategy,9059840.93,563,132
clash royale x chess,Strategy,0.0,0,0
command & conquer 3,Strategy,53086.67,9,8
command & conquer: red alert,Strategy,15000.0,8,1
company of heroes 2,Strategy,8561.22,11,6
compet,Strategy,2000.0,50,1
contractors,First-Person Shooter,1000.0,20,1
counter-strike,First-Person Shooter,13624160.18,4327,1026
counter-strike 2,First-Person Shooter,21155138.09,2731,424
counter-strike online,First-Person Shooter,406989.6,70,12
counter-strike: condition zero,First-Person Shooter,162150.6,111,3
counter-strike: global offensive,First-Person Shooter,162489706.76,16518,7033
counter-strike: source,First-Person Shooter,3113222.29,1502,331
crab game,Multiplayer Online Battle Arena,45950.0,32,11
creative destruction,Multiplayer Online Battle Arena,,8,1
critical ops,First-Person Shooter,98106.41,101,5
crossfire,First-Person Shooter,25128357.96,1140,405
crossfire hd,First-Person Shooter,1934161.1,139,7
crossfire mobile,First-Person Shooter,6780944.77,282,40
crysis,First-Person Shooter,11340.95,0,2
cultris ii,Puzzle Game,190.95,3,1
day of defeat,First-Person Shooter,51180.41,43,4
day of defeat: source,First-Person Shooter,14068.57,50,8
dead by daylight,Strategy,60000.0,35,9
dead by daylight mobile,Strategy,10000.0,0,1
dead or alive 4,Fighting Game,497745.31,45,13
dead or alive 5,Fighting Game,0.0,4,2
dead or alive 5 ultimate,Fighting Game,0.0,37,7
dead or alive 5: last round,Fighting Game,15413.82,46,20
dead or alive 6,Fighting Game,64742.54,67,21
dead or alive ultimate,Fighting Game,30000.0,3,1
deadlock,Multiplayer Online Battle Arena,12610.0,27,4
def jam: fight for ny,Fighting Game,550.0,6,3
defense of the ancients,Multiplayer Online Battle Arena,918125.6,504,105
dengeki bunko: fighting climax,Fighting Game,60.0,3,1
dengeki bunko: fighting climax ignition,Fighting Game,3852.8,40,14
descent 3,First-Person Shooter,50000.0,1,1
diabotical,First-Person Shooter,265072.09,399,388
digimon rumble arena,Fighting Game,200.0,5,2
dirt rally 2.0,Racing,30000.0,9,4
divekick,Fighting Game,5840.0,27,11
dnf duel,Fighting Game,129145.48,53,13
dofus,Multiplayer Online Battle Arena,0.0,0,0
doom (2016),First-Person Shooter,7000.0,6,1
doom 3,First-Person Shooter,257748.16,14,4
doom ii: hell on earth,First-Person Shooter,5108.56,14,8
doombringer,First-Person Shooter,567.77,8,4
dota 2,Multiplayer Online Battle Arena,360461163.42,4980,1934
dota underlords,Strategy,26024.18,62,36
dragon ball fighterz,Fighting Game,518915.52,300,183
dragon ball z: budokai 3,Fighting Game,204.06,3,1
dream league soccer,Sports,0.0,0,0
dream three kingdoms 2,Multiplayer Online Battle Arena,0.0,0,1
duck game,Fighting Game,750.0,5,2
ea sports fc 24,Sports,7356431.34,348,76
ea sports fc online,Sports,713675.79,96,11
echo arena,Sports,193732.32,126,22
echo combat,First-Person Shooter,46800.0,16,1
efootball,Sports,492000.0,62,14
eleven table tennis,Sports,0.0,0,0
endgods,Strategy,0.0,0,0
enemy territory: quake wars,First-Person Shooter,60923.12,27,4
epic roller coasters vr,Racing,1000.0,3,1
escape from tarkov,First-Person Shooter,114600.0,150,4
eternal fighter zero,Fighting Game,1311.6,7,2
ev.io,First-Person Shooter,20000.0,27,2
evolve,First-Person Shooter,131509.05,110,33
f.e.a.r.,First-Person Shooter,178000.0,20,5
f1 2018,Racing,,21,1
f1 2019,Racing,538047.38,25,2
f1 2020,Racing,752235.0,42,3
f1 2021,Racing,765939.0,35,4
f1 22,Racing,750324.0,25,2
faeria,Collectible Card Game,4100.0,12,5
fall guys,Battle Royale,340273.83,250,7
fantasy strike,Fighting Game,5799.8,21,5
farlight 84,Battle Royale,0.0,0,0
farming simulator 19,Strategy,689617.9,145,32
farming simulator 22,Strategy,181663.39,48,8
fifa 03,Sports,54066.44,10,3
fifa 04,Sports,40000.0,3,3
fifa 05,Sports,57728.01,5,8
fifa 06,Sports,112464.53,23,12
fifa 07,Sports,238312.23,43,14
fifa 08,Sports,207129.94,68,17
fifa 09,Sports,121618.34,52,19
fifa 10,Sports,117026.71,64,48
fifa 11,Sports,93983.77,72,78
fifa 12,Sports,57931.52,59,67
fifa 13,Sports,458427.82,53,62
fifa 14,Sports,96347.81,57,69
fifa 15,Sports,144373.99,167,352
fifa 16,Sports,118401.61,62,29
fifa 17,Sports,1487809.08,135,49
fifa 18,Sports,2233697.69,235,48
fifa 19,Sports,3287686.79,331,53
fifa 20,Sports,2598643.56,363,67
fifa 2000,Sports,50000.0,4,1
fifa 2001,Sports,46000.0,9,2
fifa 2002 world cup,Sports,43000.0,8,1
fifa 21,Sports,4733259.11,417,61
fifa 22,Sports,4575674.03,422,75
fifa 23,Sports,6197022.16,527,99
fifa online 3,Sports,1937542.85,124,25
fifa online 4,Sports,4087518.33,427,67
fight of animals,Fighting Game,630.68,9,4
fighter's history dynamite,Fighting Game,195.0,3,1
fighting ex layer,Fighting Game,1642.96,16,7
fortnite,Battle Royale,191012698.69,9535,2291
forza horizon 5,Racing,25000.0,24,11
forza motorsport (2023),Racing,59750.0,93,5
forza motorsport 2,Racing,222000.0,17,2
forza motorsport 3,Racing,11000.0,3,2
forza motorsport 4,Racing,132.37,2,1
forza motorsport 6,Racing,172600.0,43,9
forza motorsport 7,Racing,842700.0,140,13
free fire,Battle Royale,18141992.14,1706,95
garou: mark of the wolves,Fighting Game,658.71,13,4
gears 5,Third-Person Shooter,2320920.0,163,112
gears of war,Third-Person Shooter,252195.57,33,18
gears of war 2,Third-Person Shooter,135000.0,0,5
gears of war 3,Third-Person Shooter,7255.81,13,4
gears of war 4,Third-Person Shooter,3142785.0,155,152
gears of war: ultimate edition,Third-Person Shooter,170000.0,39,3
geoguessr,Strategy,74653.5,34,2
ghost recon advanced warfighter,First-Person Shooter,24000.0,0,2
goals,Sports,1841.26,4,1
golf plus,Sports,5000.0,4,1
golf with your friends,Sports,19400.0,11,2
gran turismo 3: a-spec,Racing,3250.0,4,2
gran turismo 4,Racing,44000.0,5,2
gran turismo 7,Sports,21242.85,13,4
gran turismo sport,Racing,61522.56,126,25
granblue fantasy versus: rising,Fighting Game,154742.8,79,22
granblue fantasy: versus,Fighting Game,205435.88,125,87
grey goo,Strategy,36400.0,18,5
grid (2019),Racing,218.75,3,1
groove gunner,Music / Rhythm Game,0.0,0,0
guild wars 2,Role-Playing Game,476005.5,152,57
guilty gear,Fighting Game,32.0,3,1
guilty gear -strive-,Fighting Game,694848.84,319,116
guilty gear xrd -revelator-,Fighting Game,36437.43,61,19
guilty gear xrd -sign-,Fighting Game,38065.66,82,39
guilty gear xrd rev 2,Fighting Game,145852.1,136,67
guilty gear xx,Fighting Game,0.0,5,2
guilty gear xx #reload,Fighting Game,0.0,3,1
guilty gear xx accent core,Fighting Game,10365.0,33,4
guilty gear xx accent core plus,Fighting Game,0.0,3,1
guilty gear xx accent core plus r,Fighting Game,20680.9,97,35
guilty gear xx slash,Fighting Game,10250.0,6,2
guitar hero 5,Music / Rhythm Game,10500.0,3,1
guitar hero iii: legends of rock,Music / Rhythm Game,19000.0,8,2
guitar hero: world tour,Music / Rhythm Game,0.0,0,0
gundam versus,First-Person Shooter,280.0,6,1
guns of boom,First-Person Shooter,198750.0,8,21
gwent,Collectible Card Game,1505197.17,344,122
gym masters vr,Sports,500.0,4,1
h1z1,Battle Royale,2067122.0,119,13
halo 2,First-Person Shooter,1626762.47,126,74
halo 2 anniversary,First-Person Shooter,468705.05,97,20
halo 3,First-Person Shooter,2318079.4,214,43
halo 4,First-Person Shooter,430748.76,66,19
halo 5: guardians,First-Person Shooter,7161730.97,248,109
halo infinite,First-Person Shooter,7003555.03,275,58
halo: combat evolved,First-Person Shooter,299281.0,118,39
halo: reach,First-Person Shooter,772089.97,121,29
hand of the gods,Collectible Card Game,94434.2,48,36
hearthstone,Collectible Card Game,30708754.65,3147,1162
hearthstone battlegrounds,Collectible Card Game,1755579.53,271,51
heavy metal machines,Multiplayer Online Battle Arena,12339.33,35,1
heroes of might and magic iii,Strategy,0.0,0,0
heroes of newerth,Multiplayer Online Battle Arena,3073445.72,820,395
heroes of the storm,Multiplayer Online Battle Arena,18464719.38,1326,506
hokuto no ken,Fighting Game,145.0,3,1
hot lap league,Racing,0.0,0,0
hyper scape,Multiplayer Online Battle Arena,299000.0,260,4
hyper street fighter ii,Fighting Game,10250.0,8,1
hyperfight,Fighting Game,140.0,4,2
identity v,Strategy,5796530.92,375,29
idol showdown,Fighting Game,188.0,3,1
injustice 2,Fighting Game,837447.16,81,38
injustice: gods among us,Fighting Game,35176.89,101,117
internet chess club,Strategy,10000.0,6,1
iracing.com,Racing,3757336.03,1302,189
iron harvest,Strategy,0.0,0,0
ironsight,First-Person Shooter,0.0,0,0
islands of nyne,First-Person Shooter,0.0,0,0
jak 3,Racing,0.0,0,0
jak and daxter: the precursur legacy,Racing,500.0,4,1
jak ii,Racing,0.0,14,1
jojo's bizarre adventure: all star battle r,Fighting Game,780.0,8,1
jojo's bizarre adventure: heritage for the future,Fighting Game,324.99,8,3
jstris,Puzzle Game,275.0,12,2
just dance 2014,Music / Rhythm Game,0.0,3,1
just hoops,Sports,0.0,0,0
"kards, the world war ii card game",Collectible Card Game,0.0,0,0
kartrider,Racing,567366.35,76,20
kill la kill the game: if,Fighting Game,920.0,12,4
killer instinct (2013),Fighting Game,268193.54,137,59
king of fighters 2002 unlimited match,Fighting Game,760.0,6,2
king of fighters 98,Fighting Game,7945.57,7,3
king of fighters xi,Fighting Game,25.0,3,1
king of fighters xiii,Fighting Game,46294.28,106,44
king of fighters xiv,Fighting Game,83801.59,95,41
king of fighters xv,Fighting Game,368613.14,179,51
kirby fighters 2,Fighting Game,222.86,4,1
knockout city,Third-Person Shooter,0.0,0,0
koihime enbu,Fighting Game,1765.0,14,7
league of legends,Multiplayer Online Battle Arena,113596024.63,9588,3000
league of legends: wild rift,Multiplayer Online Battle Arena,11193427.98,1473,117
legend of glory,Multiplayer Online Battle Arena,472.66,0,1
legends of runeterra,Collectible Card Game,718091.03,284,33
legion td 2,Strategy,0.0,0,0
lemnis gate,First-Person Shooter,1564.7,6,5
lethal league blaze,Fighting Game,5643.92,25,12
lichess,Strategy,1308106.01,366,183
live for speed,Racing,11833.14,24,10
loco dojo unleashed,Strategy,1000.0,4,1
mad skills motocross 2,Racing,80163.0,23,3
madden nfl 06,Sports,,1,1
madden nfl 07,Sports,,1,1
madden nfl 08,Sports,,1,1
madden nfl 09,Sports,,1,1
madden nfl 13,Sports,,8,1
madden nfl 16,Sports,50000.0,8,1
madden nfl 17,Sports,1004000.0,42,5
madden nfl 18,Sports,423676.62,40,3
madden nfl 19,Sports,1269992.0,45,5
madden nfl 20,Sports,923000.0,38,2
madden nfl 2004,Sports,1500.0,3,1
madden nfl 21,Sports,1280000.0,66,6
madden nfl 22,Sports,1650000.0,37,4
madden nfl 23,Sports,1700000.0,37,4
madden nfl 24,Sports,1700000.0,86,6
madden nfl 25,Sports,,8,1
magic: the gathering arena,Collectible Card Game,9194000.0,336,60
magic: the gathering online,Collectible Card Game,1818000.0,173,16
magical drop iii,Puzzle Game,130.0,3,1
maiden & spell,Fighting Game,325.0,5,2
marbles on stream,Racing,0.0,0,0
mario kart 8 deluxe,Racing,14654.44,55,10
mario tennis aces,Sports,61.3,6,2
marvel vs. capcom 2,Fighting Game,39279.73,68,29
marvel vs. capcom 3,Fighting Game,22343.62,38,12
marvel vs. capcom: infinite,Fighting Game,76256.72,60,22
mechwarrior online,First-Person Shooter,143490.0,0,1
melty blood: actress again,Fighting Game,0.0,10,2
melty blood: actress again current code,Fighting Game,12937.44,73,25
melty blood: type lumina,Fighting Game,63817.23,72,23
men of war: assault squad 2,Strategy,0.0,0,0
metal gear online,First-Person Shooter,8000.0,37,8
microsoft excel,Puzzle Game,114400.0,86,43
mighty fight federation,Fighting Game,100.0,3,1
million arthur: arcana blood,Fighting Game,7540.0,12,4
minecraft,Multiplayer Online Battle Arena,3008059.15,613,142
moba legends,Multiplayer Online Battle Arena,225.0,3,1
mobile legends: bang bang,Multiplayer Online Battle Arena,17019451.87,2261,155
mobile suit gundam: extreme vs maxi boost on,Third-Person Shooter,420.0,12,2
mordhau,Fighting Game,16623.0,40,3
mortal kombat 1,Fighting Game,344710.47,129,26
mortal kombat 11,Fighting Game,611478.76,236,64
mortal kombat 9,Fighting Game,136891.67,67,26
mortal kombat vs. dc universe,Fighting Game,0.0,3,1
mortal kombat x,Fighting Game,563532.42,100,62
mortal kombat xl,Fighting Game,134263.79,56,19
multigaming,Strategy,631156.54,58,12
multiversus,Fighting Game,114202.5,59,10
mystery game tournament,Fighting Game,10995.0,56,8
mythgard,Collectible Card Game,3000.0,9,3
naraka: bladepoint,Role-Playing Game,4357330.52,177,14
naruto shippuden: ultimate ninja storm 4,Fighting Game,4550.0,7,5
naruto: gekitou ninja taisen! 4,Fighting Game,200.0,3,1
nascar heat 4,Racing,200500.0,34,5
nascar heat 5,Racing,6125.0,20,2
nascar thunder 2002,Racing,7679.25,0,1
nascar thunder 2003,Racing,5933.5,0,1
nba 2k online,Sports,0.0,0,0
nba 2k online 2,Sports,0.0,0,0
nba 2k18,Sports,,91,4
nba 2k19,Sports,1330000.0,78,4
nba 2k20,Sports,250000.0,1,1
nba 2k21,Sports,1330501.0,64,3
nba 2k22,Sports,2650000.0,92,7
nba 2k23,Sports,2925000.0,105,9
need for speed carbon,Racing,36322.58,12,4
need for speed: most wanted,Racing,35694.54,18,7
need for speed: prostreet,Racing,32208.46,12,3
need for speed: shift,Racing,10500.0,3,1
need for speed: underground,Racing,35000.0,3,1
need for speed: underground 2,Racing,35629.48,8,3
nhl '94,Sports,3818.56,16,8
nhl 12,Sports,702.93,6,2
nhl 13,Sports,70000.0,1,1
nhl 14,Sports,3023.96,6,3
nhl 15,Sports,3157.16,3,3
nhl 17,Sports,0.0,0,0
nhl 18,Sports,102700.0,20,6
nhl 19,Sports,22566.67,10,8
nhl 23,Sports,105250.0,12,4
ninja legends,Fighting Game,1000.0,6,1
nitroplus blasterz: heroines infinite duel,Fighting Game,1994.0,10,4
nock,Sports,4050.0,12,2
old school runescape,Role-Playing Game,457504.2,84,26
onmyoji arena,Multiplayer Online Battle Arena,89679.22,5,1
onward,First-Person Shooter,161820.0,92,8
osu!,Music / Rhythm Game,274092.83,1059,251
overwatch,First-Person Shooter,35259225.38,4047,847
overwatch 2,First-Person Shooter,12861360.04,1329,138
pac-man,Puzzle Game,0.0,0,0
painkiller,First-Person Shooter,1015000.0,48,13
paladins,First-Person Shooter,2490507.6,571,79
panel attack,Puzzle Game,140.0,5,2
paravox,Third-Person Shooter,0.0,0,0
pavlov,First-Person Shooter,1260.0,19,3
penguin paradise,Battle Royale,0.0,0,0
persona 4 arena,Fighting Game,6336.63,42,11
persona 4 arena ultimax,Fighting Game,21138.16,69,22
pistol whip,First-Person Shooter,7500.0,13,1
playchess.com,Strategy,32866.58,116,9
playerunknown's battlegrounds mobile,Battle Royale,87322954.82,4263,341
playerunknown’s battlegrounds,Battle Royale,64200450.19,3967,631
pocket bravery,Fighting Game,452.35,3,1
pocket rumble,Fighting Game,185.0,5,2
point blank,First-Person Shooter,1903561.1,583,112
pokemon unite,Multiplayer Online Battle Arena,2802324.2,850,61
pokkén tournament,Fighting Game,77216.66,65,26
pokkén tournament dx,Fighting Game,22125.4,44,28
pokémon go,Strategy,557990.0,324,72
pokémon tcg,Collectible Card Game,0.0,0,0
pokémon vgc,Strategy,667352.0,322,48
power instinct: matrimelee,Fighting Game,90.0,5,2
power rangers: battle for the grid,Fighting Game,6946.8,27,13
power rangers: legacy wars,Fighting Game,4178.55,2,1
pro evolution soccer 2008,Sports,2084.15,6,3
pro evolution soccer 2009,Sports,1395.97,5,2
pro evolution soccer 2013,Sports,0.0,0,0
pro evolution soccer 2014,Sports,29410.25,4,1
pro evolution soccer 2015,Sports,26544.76,3,1
pro evolution soccer 2016,Sports,27243.84,17,6
pro evolution soccer 2017,Sports,514697.71,39,16
pro evolution soccer 2018,Sports,250000.0,20,3
pro evolution soccer 2019,Sports,216000.0,25,2
pro evolution soccer 3,Sports,25000.0,8,2
pro evolution soccer 4,Sports,40550.64,11,2
pro evolution soccer 5,Sports,32000.0,4,1
pro evolution soccer 6,Sports,20216.82,5,2
project cars,Racing,68955.21,53,127
project cars 2,Racing,66150.0,37,22
project gotham racing 2,Racing,35000.0,4,2
project gotham racing 3,Racing,297286.85,33,10
project gotham racing 4,Racing,25208.46,5,4
project justice,Fighting Game,165.0,3,1
project m,Fighting Game,205292.09,560,335
project plus,Fighting Game,195.0,6,2
prophecy,Strategy,13000.0,27,4
punch planet,Fighting Game,400.0,6,2
puyo puyo champions,Puzzle Game,2482.3,14,5
puyo puyo tetris,Puzzle Game,3422.84,31,16
puyo puyo tetris 2,Puzzle Game,1897.64,14,3
quake 4,First-Person Shooter,564455.57,107,54
quake champions,First-Person Shooter,3520578.25,334,290
quake ii,First-Person Shooter,130725.98,37,12
quake iii arena,First-Person Shooter,1198106.02,309,115
quake live,First-Person Shooter,684854.12,225,411
quakeworld,First-Person Shooter,104913.39,57,16
raceroom racing experience,Racing,279172.5,168,28
racket: nx,Sports,500.0,3,1
radical heights,Battle Royale,120000.0,12,2
rage,First-Person Shooter,5000.0,3,1
ragnaröck,Sports,0.0,0,0
rainbow six extraction,First-Person Shooter,0.0,0,0
rainbow six siege,First-Person Shooter,48130526.59,3070,568
rainbow six: vegas,First-Person Shooter,176400.77,106,7
rainbow six: vegas 2,First-Person Shooter,79000.0,0,8
realm royale,First-Person Shooter,263000.0,47,9
red earth,Fighting Game,100.0,3,1
red stone,Role-Playing Game,58000.0,12,2
reflex,First-Person Shooter,2458.37,24,9
rennsport,Racing,2131805.52,65,9
resistance 2,First-Person Shooter,50400.0,194,1
return to castle wolfenstein,First-Person Shooter,113424.3,50,3
rezzil player,Sports,61650.0,19,12
rfactor,Racing,15083.56,51,4
rfactor 2,Racing,2219963.12,557,103
ring of elysium,Battle Royale,70000.0,9,4
rise of nations: rise of legends,Strategy,69600.0,8,1
rising thunder,Fighting Game,1000.0,3,1
rivals of aether,Fighting Game,41314.85,63,24
roblox,Multiplayer Online Battle Arena,0.0,0,0
rocket arena,Battle Royale,,24,3
rocket league,Sports,42262497.19,6884,4542
rocket league sideswipe,Sports,63500.0,32,4
rogue company,Third-Person Shooter,50000.0,48,2
roller champions,Sports,8538.95,60,19
roof rage,Fighting Game,50.0,3,1
rules of survival,Battle Royale,656000.0,0,4
rushdown revolt,Fighting Game,4160.09,31,18
rust,First-Person Shooter,50000.0,46,1
s.k.i.l.l. - special force 2,First-Person Shooter,147532.93,97,22
s.t.a.l.k.e.r.: shadow of chernobyl,First-Person Shooter,4901.26,0,1
sailor moon s,Fighting Game,3281.19,20,12
samurai shodown (2019),Fighting Game,79368.31,77,22
samurai shodown iii,Fighting Game,70.0,5,2
samurai shodown v special,Fighting Game,590.57,15,5
schwarzerblitz,Fighting Game,200.0,5,2
sea of thieves,Strategy,,67,4
sekiro: shadows die twice,Fighting Game,19596.0,20,1
shadowrun,First-Person Shooter,24000.0,0,3
shadowverse,Collectible Card Game,5508473.29,248,44
shardbound,Collectible Card Game,0.0,0,0
shards of war,Multiplayer Online Battle Arena,1029.21,20,1
shootmania storm,First-Person Shooter,262090.69,108,43
shovel knight showdown,Fighting Game,60.0,3,1
shrek superslam,Fighting Game,80.0,4,2
skullgirls,Fighting Game,300.0,3,1
skullgirls 2nd encore,Fighting Game,84813.02,84,29
skullgirls encore,Fighting Game,9155.4,37,13
slap city,Fighting Game,600.0,5,2
slapshot rebound,Sports,638.27,23,5
slayers for hire,Fighting Game,600.0,8,2
smash remix,Fighting Game,299.06,4,1
smite,Multiplayer Online Battle Arena,12580110.75,556,110
snapshot vr,First-Person Shooter,1000.0,15,2
snk heroines: tag team frenzy,Fighting Game,430.0,3,1
soccer stars,Sports,0.0,0,0
soul calibur ii,Fighting Game,4980.0,17,8
soul calibur ii hd online,Fighting Game,945.41,29,5
soul calibur iv,Fighting Game,260.0,3,2
soul calibur v,Fighting Game,62928.54,76,28
soul calibur vi,Fighting Game,177627.27,128,72
space junkies,First-Person Shooter,30420.0,33,4
special force,First-Person Shooter,130250.0,0,3
speedrunners,Racing,150.0,5,2
spellbreak,Battle Royale,50000.0,42,1
splatoon,First-Person Shooter,1390.0,3,4
splatoon 2,First-Person Shooter,8930.0,13,6
splitgate: arena warfare,Multiplayer Online Battle Arena,360000.0,92,4
sprint vector,Racing,11750.0,8,1
star wars jedi knight ii: jedi outcast,First-Person Shooter,7679.25,0,1
star wars: squadrons,Strategy,800.0,4,1
starcraft ii,Strategy,42692707.57,2280,7510
starcraft: brood war,Strategy,7555915.68,663,542
starcraft: evo complete (mod),Strategy,21687.9,35,10
starcraft: remastered,Strategy,5860787.7,413,829
stardew valley,Role-Playing Game,97850.0,69,3
stick fight the game,Fighting Game,700.0,5,2
stormgate,Strategy,39778.85,89,32
street fighter 6,Fighting Game,5179896.65,393,120
street fighter alpha 2,Fighting Game,3324.69,26,12
street fighter alpha 3,Fighting Game,340.0,16,5
street fighter ex2 plus,Fighting Game,350.0,5,2
street fighter iii: 3rd strike,Fighting Game,113008.54,179,57
street fighter iv,Fighting Game,15110.82,43,13
street fighter v,Fighting Game,2334386.94,281,131
street fighter v: arcade edition,Fighting Game,2267283.95,244,105
street fighter v: champion edition,Fighting Game,1248126.27,264,154
street fighter x tekken,Fighting Game,105990.64,134,95
sudden attack,First-Person Shooter,0.0,0,0
summoners war: sky arena,Strategy,792000.0,33,7
super mario party,Strategy,220.0,4,1
super people,Battle Royale,144526.0,95,11
super smash bros.,Fighting Game,79820.05,242,131
super smash bros. brawl,Fighting Game,248100.83,509,348
super smash bros. for wii u,Fighting Game,1517451.47,1284,1036
super smash bros. melee,Fighting Game,4221849.29,2012,2746
super smash bros. ultimate,Fighting Game,2929881.74,2419,1757
super street fighter ii turbo,Fighting Game,28227.29,126,55
super street fighter ii turbo hd remix,Fighting Game,22160.0,55,9
super street fighter iv,Fighting Game,30229.3,43,18
super street fighter iv arcade edition,Fighting Game,391186.67,195,209
superplayer,Sports,1000.0,3,1
supreme commander,Strategy,4901.26,0,1
supreme commander: forged alliance,Strategy,1290.01,0,1
synth riders,Music / Rhythm Game,2100.0,11,7
tatsunoko vs. capcom: ultimate all-stars,Fighting Game,2771.76,16,16
team fortress 2,First-Person Shooter,775660.02,1471,207
teamfight tactics,Strategy,8765860.25,871,109
teenage mutant ninja turtles: tournament fighters,Fighting Game,820.0,7,2
